id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
17948917,123157430,Eee,Greater Dandenong,-37.94919599,145.1516976,Private room,50,1,0,,,1,178,1,
17816991,121801678,Ugarte,Greater Dandenong,-37.95048377,145.1485743,Private room,100,1,0,,,1,364,1,
4287875,22260925,Melroy,Greater Dandenong,-37.98317663,145.1719309,Private room,50,2,33,28/2/17,1.11,1,333,2,95
17797801,121617802,Strickland,Greater Dandenong,-37.94445961,145.1522148,Private room,98,1,0,,,1,364,1,
17797773,121617550,Choi,Greater Dandenong,-37.95023869,145.1465122,Private room,100,1,0,,,1,172,1,
17547269,68813725,Ivy,Greater Dandenong,-37.9761832,145.2071782,Private room,125,1,0,,,4,365,2,
10927751,365556,Rebecca,Greater Dandenong,-37.96966736,145.1722551,Private room,60,1,0,,,1,365,1,
10127951,39093981,Don,Greater Dandenong,-37.99168851,145.203059,Entire home/apt,248,3,1,16/12/16,0.28,5,360,4,100
9374434,48639316,Cameron,Greater Dandenong,-37.95896977,145.1459063,Private room,39,2,5,30/3/17,0.63,1,203,1,96
14600160,60302994,Tao,Greater Dandenong,-38.00356473,145.15598,Entire home/apt,218,1,33,12/3/17,4.74,1,127,6,98
3856909,19896788,Mary,Greater Dandenong,-37.98246665,145.2144883,Entire home/apt,132,2,0,,,1,105,9,
9245788,48048221,Malhaar,Greater Dandenong,-37.96749025,145.1688878,Private room,45,1,24,24/3/17,1.56,1,351,1,96
12501251,67654086,Cris,Greater Dandenong,-37.94692725,145.1454497,Private room,35,2,8,18/3/17,0.9,2,147,1,100
16073615,97858591,Swan,Greater Dandenong,-37.95106639,145.1427055,Private room,68,2,2,27/2/17,1.36,3,324,1,90
16461750,107285752,May,Greater Dandenong,-37.99754245,145.1491335,Private room,41,1,3,23/3/17,1.53,5,267,2,93
3221228,2359587,Paul,Greater Dandenong,-37.96196809,145.1626272,Private room,35,15,0,,,1,365,1,
6561521,34310230,Karen,Greater Dandenong,-37.94219574,145.144605,Shared room,39,1,6,2/3/17,0.28,4,365,2,73
10531333,54307006,Beatriz,Greater Dandenong,-37.9995238,145.1779371,Entire home/apt,60,1,0,,,1,0,2,
6559957,34310230,Karen,Greater Dandenong,-37.94100533,145.1456965,Shared room,20,1,7,16/2/17,0.38,4,350,4,83
17834431,121978021,Gyg,Greater Dandenong,-37.97706202,145.2099711,Private room,98,1,0,,,1,365,3,
11148934,57964239,Dominic Pappalardo,Greater Dandenong,-37.95276427,145.2270371,Private room,75,1,0,,,1,365,1,
12988604,64704997,Olga,Greater Dandenong,-37.95632487,145.1819732,Entire home/apt,90,7,2,23/1/17,0.31,1,15,1,100
13033196,33329279,Myrna,Greater Dandenong,-37.96982276,145.2097113,Private room,60,1,8,5/3/17,1.2,2,355,1,100
7468159,39093981,Don,Greater Dandenong,-37.99259859,145.20527,Entire home/apt,298,3,0,,,5,316,5,
14269674,2558544,Justine,Greater Dandenong,-38.01452958,145.2023231,Private room,39,5,1,20/9/16,0.15,1,342,2,
10239227,50855053,Bob,Greater Dandenong,-37.94575657,145.1926307,Private room,55,1,6,19/2/17,0.45,4,331,1,77
690762,3529788,Thomas,Greater Dandenong,-37.97413366,145.2195461,Private room,80,1,1,1/3/14,0.03,1,0,3,43
17547377,68813725,Ivy,Greater Dandenong,-37.97785109,145.2055577,Private room,140,1,0,,,4,365,2,
7095182,6460810,Deborah,Greater Dandenong,-37.98580019,145.2220529,Entire home/apt,145,2,37,30/3/17,2.4,2,324,5,97
11093948,20584468,Dorothy,Greater Dandenong,-37.95144124,145.1765216,Private room,100,2,10,20/2/17,0.83,5,336,1,94
16500264,107285752,May,Greater Dandenong,-37.9980069,145.148223,Private room,38,1,1,8/2/17,0.55,5,87,3,100
5001593,25791816,Rachelle,Greater Dandenong,-38.05874752,145.2212939,Private room,128,5,0,,,1,364,3,
13226563,39906565,Rohan,Greater Dandenong,-38.00600053,145.142677,Private room,35,1,1,19/6/16,0.1,1,82,2,100
17948963,123157805,Opnbvgd,Greater Dandenong,-37.95343542,145.1558701,Private room,51,1,0,,,1,178,1,
17949024,123158205,Ztjcmnm,Greater Dandenong,-37.95172034,145.1451601,Private room,50,1,0,,,1,364,1,
17323206,99172627,Ai,Greater Dandenong,-37.96175886,145.1601336,Private room,80,1,0,,,1,0,2,
10239025,50855053,Bob,Greater Dandenong,-37.94700073,145.1940033,Private room,39,1,2,16/4/16,0.15,4,317,1,90
7463312,39093981,Don,Greater Dandenong,-37.99188778,145.2030847,Entire home/apt,298,3,2,26/12/15,0.1,5,364,5,90
6384614,33277326,Nusrat,Greater Dandenong,-37.96416599,145.18005,Private room,60,1,1,22/11/15,0.06,1,337,1,100
6156890,31940564,Qing,Greater Dandenong,-38.00332043,145.1557056,Private room,66,1,15,28/12/16,0.71,1,173,1,100
10283006,50855053,Bob,Greater Dandenong,-37.94716947,145.1929007,Entire home/apt,138,1,7,14/1/17,0.56,4,316,3,89
11762465,20584468,Dorothy,Greater Dandenong,-37.95135358,145.1780673,Private room,30,2,15,21/3/17,1.19,5,355,1,83
5503903,755657,Galya,Greater Dandenong,-37.96916198,145.2056934,Private room,45,1,0,,,1,365,1,
11763524,20584468,Dorothy,Greater Dandenong,-37.95179958,145.1780358,Private room,30,2,32,25/3/17,2.54,5,347,1,91
11762629,20584468,Dorothy,Greater Dandenong,-37.95354487,145.1782535,Private room,45,2,16,22/3/17,1.27,5,338,1,83
9665733,49773227,Niroj,Greater Dandenong,-37.96761893,145.1855183,Entire home/apt,90,1,0,,,1,0,2,
12045772,55625498,Dan,Greater Dandenong,-37.96969463,145.1748201,Private room,31,2,1,27/3/17,1,3,170,1,100
16399867,107285752,May,Greater Dandenong,-37.99614055,145.1504165,Private room,79,1,1,2/1/17,0.32,5,357,7,20
17659381,120139961,Donna,Greater Dandenong,-37.96543159,145.1453849,Entire home/apt,94,2,0,,,1,165,5,
10616480,33329279,Myrna,Greater Dandenong,-37.97001173,145.2116179,Private room,60,1,11,29/11/16,0.8,2,346,1,98
15345802,97858591,Swan,Greater Dandenong,-37.95176,145.1421766,Private room,79,2,3,30/3/17,0.61,3,140,1,93
8748739,41051832,Anu,Greater Dandenong,-37.96327677,145.184227,Private room,46,1,6,13/3/17,0.47,1,343,1,90
11303220,59071825,Sisly,Greater Dandenong,-38.04321762,145.1515985,Entire home/apt,2500,1,0,,,1,365,6,
11763442,20584468,Dorothy,Greater Dandenong,-37.9532169,145.1784926,Private room,149,2,8,27/9/16,0.64,5,277,1,80
753220,3961962,Kuldeep,Greater Dandenong,-37.95962496,145.1768132,Private room,75,1,0,,,1,365,1,
12992391,46687156,Jenny,Greater Dandenong,-37.96486227,145.1637755,Private room,48,1,20,18/3/17,2.01,1,50,1,96
14766827,92106729,Zubin,Greater Dandenong,-37.98859788,145.1723592,Private room,180,1,0,,,1,365,1,
17816898,121801080,Otoole,Greater Dandenong,-37.94983693,145.1515526,Private room,100,1,0,,,1,180,1,
13722058,67654086,Cris,Greater Dandenong,-37.94774,145.1454509,Private room,41,3,0,,,2,358,1,
16440182,107285752,May,Greater Dandenong,-37.99730412,145.1499705,Private room,38,1,1,13/2/17,0.6,5,355,1,60
8412000,39093981,Don,Greater Dandenong,-37.99226859,145.2028545,Entire home/apt,248,3,0,,,5,356,4,
15260363,47934920,Yiqian,Greater Dandenong,-38.00554825,145.1456767,Private room,80,3,1,20/2/17,0.7,4,365,1,100
9887196,50855053,Bob,Greater Dandenong,-37.94680381,145.1941488,Private room,39,1,6,23/1/17,0.39,4,358,1,90
16083734,97858591,Swan,Greater Dandenong,-37.95156949,145.1440809,Private room,56,2,3,25/2/17,0.97,3,133,1,100
12276678,8359534,Sussie,Greater Dandenong,-37.97697928,145.2046797,Entire home/apt,100,2,14,20/3/17,1.44,1,145,2,97
12045613,55625498,Dan,Greater Dandenong,-37.96977224,145.17687,Private room,31,1,1,11/4/16,0.08,3,166,1,100
16501036,107285752,May,Greater Dandenong,-37.99720867,145.1497708,Private room,52,1,7,23/3/17,4.38,5,83,1,86
10757824,55625498,Dan,Greater Dandenong,-37.9700938,145.1750359,Private room,31,1,1,23/3/17,1,3,170,1,100
10195741,52373654,Rajinth Vergil,Greater Dandenong,-37.99540444,145.2231564,Private room,69,1,4,4/3/17,1.6,1,351,1,85
14326294,87663648,Allan,Greater Dandenong,-37.95296128,145.1756812,Private room,37,1,0,,,1,276,2,
10127911,39093981,Don,Greater Dandenong,-37.99313621,145.2030643,Entire home/apt,198,1,1,27/10/16,0.19,5,361,3,80
9537955,34310230,Karen,Greater Dandenong,-37.94200527,145.145451,Shared room,20,1,13,17/3/17,0.87,4,355,6,74
12692275,68813725,Ivy,Greater Dandenong,-37.97744083,145.2071615,Entire home/apt,110,1,0,,,4,360,1,
12328328,66524136,Gordana,Wyndham,-37.8898979,144.6460879,Private room,50,1,0,,,2,365,1,
11627485,20958587,Big Ben,Wyndham,-37.90564301,144.6710751,Entire home/apt,200,7,1,13/12/16,0.27,1,363,3,100
14155778,85569276,Miriam,Wyndham,-37.89782737,144.7728185,Entire home/apt,319,3,0,,,1,321,4,
12190654,54881050,Kim,Wyndham,-37.90072744,144.6707217,Private room,52,1,2,30/10/16,0.23,1,171,1,90
16968197,99698806,Anthony,Wyndham,-37.89733117,144.6263405,Private room,29,2,4,4/3/17,1.97,2,295,1,100
16947107,100256427,Moc,Wyndham,-37.8743201,144.5939739,Private room,37,3,5,24/3/17,3.06,2,118,1,92
15139020,76410719,Thanh Tuan (Jackson),Wyndham,-37.83765541,144.7148639,Entire home/apt,79,1,5,17/3/17,0.81,2,330,6,80
16498878,108377237,Jin,Wyndham,-37.89694111,144.7431478,Entire home/apt,165,3,12,16/3/17,3.96,2,166,3,97
7252782,37971839,Judy,Wyndham,-37.85303184,144.698782,Entire home/apt,115,1,9,30/3/16,0.44,1,0,2,96
17794192,23227579,Craig And Jenny,Wyndham,-37.85884757,144.7531679,Private room,45,1,0,,,1,223,3,
17836790,93994353,Sandra,Wyndham,-37.90976063,144.6678261,Private room,45,1,0,,,1,168,3,
12683856,54289205,Jen,Wyndham,-37.8800812,144.6728059,Private room,28,1,12,20/11/16,1.06,2,331,1,98
3006500,7044292,Malcom,Wyndham,-37.86121157,144.7515541,Private room,50,7,44,1/4/17,1.25,9,180,1,93
16728573,1423099,Margherita,Wyndham,-37.85688132,144.7476187,Private room,52,2,4,15/3/17,1.97,2,323,1,100
10685491,55202209,Julius (Anton),Wyndham,-37.84380801,144.6693132,Private room,26,1,17,16/3/17,1.16,1,333,1,98
17796419,114775952,Mannat And Nitin,Wyndham,-37.89352178,144.6587611,Private room,46,1,1,26/3/17,1,3,362,1,100
12234053,1681836,Cynthia,Wyndham,-37.84263076,144.7246626,Private room,35,2,2,1/5/16,0.17,1,276,1,100
10522034,54249658,Raelene,Wyndham,-37.89775962,144.6641493,Private room,93,1,0,,,1,0,1,
16648160,92196966,Alex,Wyndham,-37.88454166,144.7325154,Entire home/apt,414,3,2,28/3/17,0.7,2,359,8,
13143660,549667,Vassy,Wyndham,-37.90203812,144.6152813,Private room,66,2,9,8/2/17,0.91,2,365,1,90
16977544,53673880,Ashley,Wyndham,-37.91847439,144.7482082,Private room,50,1,2,24/3/17,1.5,1,344,3,100
18026412,77994373,Jessie,Wyndham,-37.88703433,144.6150414,Private room,31,1,0,,,3,177,1,
6230256,32323340,June,Wyndham,-37.89392612,144.7608901,Private room,80,1,0,,,1,365,1,
17969308,2046336,Marissa,Wyndham,-37.87132822,144.5933675,Entire home/apt,79,1,0,,,1,173,1,
5907584,30581042,Loida,Wyndham,-37.85620525,144.7464916,Private room,60,3,0,,,4,364,1,
16429288,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.90862789,144.718284,Entire home/apt,245,2,0,,,46,329,8,
16000166,32212956,Himanshu,Wyndham,-37.89758214,144.733117,Private room,25,1,0,,,1,176,2,
16622826,36204938,Maria Loida,Wyndham,-37.85631165,144.7454754,Private room,60,2,2,29/3/17,0.97,2,350,7,100
17011677,67487614,Mahesh,Wyndham,-37.89481888,144.7329988,Private room,58,1,2,4/3/17,1.13,2,180,1,100
6263917,20095699,Stephen,Wyndham,-37.90435226,144.7480089,Private room,69,1,3,25/3/17,0.16,1,365,1,80
17576674,22829103,Li,Wyndham,-37.86306288,144.7422841,Private room,48,1,6,27/3/17,6,1,346,3,97
15028564,21077750,Mehul,Wyndham,-37.84715238,144.7290598,Private room,60,1,3,8/12/16,0.52,1,335,1,100
13348222,29904057,May,Wyndham,-37.90228528,144.7623507,Entire home/apt,169,3,29,26/3/17,3.16,1,265,3,96
13772466,22963295,Vivian,Wyndham,-37.83621747,144.6625435,Private room,100,1,0,,,1,364,2,
5908158,30581042,Loida,Wyndham,-37.85661369,144.7447159,Private room,60,2,2,27/11/15,0.09,4,352,1,90
2238160,2539832,Craig,Wyndham,-37.88970325,144.6367624,Private room,30,1,43,9/12/16,1.12,3,361,1,90
12887796,8874040,Kevin,Wyndham,-37.86543672,144.7209799,Private room,50,1,1,9/5/16,0.09,1,365,1,
17171303,1423099,Margherita,Wyndham,-37.85633142,144.7462531,Private room,52,2,3,16/3/17,2.37,2,364,1,93
17182324,24499341,Queenie,Wyndham,-37.91037744,144.7326774,Entire home/apt,160,2,5,27/3/17,4.55,1,355,5,84
9659125,8668696,Qiaoling,Wyndham,-37.90191169,144.7340921,Entire home/apt,189,1,70,18/3/17,4.82,2,267,6,95
16621659,109754266,Su,Wyndham,-37.86009423,144.7404555,Private room,80,1,0,,,1,181,1,
5364419,27665334,çêéç__,Wyndham,-37.90421011,144.7330369,Private room,80,1,0,,,2,365,1,
4519807,22793004,Samuel,Wyndham,-37.84801275,144.6860931,Private room,59,1,29,5/3/17,1.01,2,358,1,86
11896801,63453486,Yang,Wyndham,-37.90758452,144.7684173,Private room,68,1,0,,,1,364,1,
16263498,106352803,Novine,Wyndham,-37.90134948,144.7504711,Private room,66,1,9,28/3/17,2.97,1,359,1,96
16624177,19995744,Brianna,Wyndham,-37.87777267,144.7250524,Private room,41,1,5,22/3/17,1.81,1,365,1,92
12374251,66743252,Kari,Wyndham,-37.90187106,144.7366267,Private room,250,5,0,,,1,364,1,
8002331,36591532,Reny & Dick,Wyndham,-37.89778844,144.7282931,Private room,45,1,42,23/3/17,2.32,2,362,1,94
15995321,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.90783891,144.7784638,Entire home/apt,215,2,1,31/1/17,0.48,46,365,6,100
14920379,80194001,Abdul,Wyndham,-37.86800479,144.7111494,Private room,42,1,5,31/3/17,1.4,1,362,1,88
1024812,5642324,Jonny,Wyndham,-37.84576424,144.6685777,Private room,75,5,0,,,1,365,1,
9738996,50171785,Vivian,Wyndham,-37.90826235,144.7712844,Private room,42,2,6,10/9/16,0.37,1,89,1,90
17777795,121291785,Shreyash,Wyndham,-37.86035124,144.7550757,Entire home/apt,229,1,0,,,1,52,3,
17945026,109788769,Mia,Wyndham,-37.85786005,144.7465162,Private room,130,1,0,,,6,350,3,
7847695,41353275,Helen,Wyndham,-37.96640112,144.7046015,Entire home/apt,190,2,2,4/3/17,0.86,1,356,2,90
17593320,119546632,Leon,Wyndham,-37.90163879,144.6159825,Entire home/apt,149,2,0,,,1,311,4,
13779109,80896463,Peter,Wyndham,-37.87967647,144.6907189,Private room,41,1,0,,,1,0,1,
13515320,77609323,Aditya,Wyndham,-37.88854223,144.720247,Private room,43,2,2,25/12/16,0.26,1,362,1,100
16071598,22965385,Lucy & Yong,Wyndham,-37.8999596,144.7696907,Entire home/apt,300,3,0,,,1,162,7,
15514629,99698806,Anthony,Wyndham,-37.89770497,144.6250356,Private room,29,2,7,2/3/17,2.14,2,337,1,97
1621193,8623584,Michael,Wyndham,-37.90037244,144.7415355,Private room,50,3,10,23/12/16,0.35,4,180,1,96
363060,1835097,Rovielle,Wyndham,-37.8454538,144.7163799,Private room,69,3,0,,,1,365,1,
4617499,23920294,Brydie,Wyndham,-37.89519986,144.6164233,Private room,35,1,3,21/10/16,0.28,2,306,1,80
4601119,10857350,Lyn,Wyndham,-37.89298263,144.6677603,Private room,55,1,18,8/2/17,0.68,4,362,2,88
12138041,65159547,Karan,Wyndham,-37.85578769,144.7376635,Private room,2000,1,0,,,1,365,3,
17769903,63276696,Bobby,Wyndham,-37.90983315,144.7596587,Private room,51,1,1,19/3/17,1,4,176,1,100
15087210,25039556,Juliet,Wyndham,-37.88042671,144.7427503,Private room,329,2,0,,,1,89,1,
16692924,36204938,Maria Loida,Wyndham,-37.85594991,144.7468391,Private room,80,1,0,,,2,357,7,
7266440,38047748,B,Wyndham,-37.83941547,144.6652726,Private room,39,2,7,17/3/17,0.41,1,176,3,91
2150936,10857350,Lyn,Wyndham,-37.89298019,144.6662379,Private room,50,1,28,28/3/17,0.77,4,307,3,91
5816622,1360067,Sharmaine And Justice,Wyndham,-37.90931862,144.7744582,Private room,48,14,3,28/2/17,0.17,1,181,1,100
17482045,48194563,Hemant,Wyndham,-37.91205368,144.7362426,Private room,50,1,0,,,1,0,2,
15993573,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.90508825,144.7213365,Entire home/apt,245,2,0,,,46,311,8,
10286517,28902941,Novia,Wyndham,-37.86606481,144.721149,Private room,60,2,3,17/3/17,0.21,1,365,2,87
16605735,108377237,Jin,Wyndham,-37.89530244,144.744565,Entire home/apt,149,2,11,25/3/17,3.98,2,148,2,96
16893048,101515935,Kristine,Wyndham,-37.89868159,144.6333844,Private room,45,1,4,1/4/17,4,1,90,1,100
