id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
16194102,50355584,Karen,Pittwater,-33.68082035,151.2868773,Entire home/apt,152,3,0,,,1,0,3,
16231561,101457989,David & Claudia,Pittwater,-33.70607587,151.2955262,Entire home/apt,95,1,19,25/2/17,4.87,1,159,1,95
15526112,51175994,Jaycie,Pittwater,-33.69997861,151.3074977,Entire home/apt,300,2,4,4/2/17,0.85,2,365,4,90
4849322,5409864,Annie,Pittwater,-33.67956242,151.291916,Private room,75,2,23,2/4/17,0.9,3,349,1,95
11537464,60462412,Mel,Pittwater,-33.70591761,151.2970979,Entire home/apt,1000,5,1,7/1/17,0.34,1,27,6,100
8956578,46266541,Tom,Pittwater,-33.68341224,151.2881815,Entire home/apt,250,6,4,1/1/17,0.26,1,323,4,90
15749144,101792637,Claire,Pittwater,-33.68045571,151.3110635,Entire home/apt,85,5,1,2/1/17,0.32,1,5,1,100
8377514,44151233,Kelly,Pittwater,-33.69674809,151.2949257,Entire home/apt,92,7,2,1/1/17,0.11,1,0,2,100
14659573,47004896,Homemade Holidays,Pittwater,-33.67911308,151.2706528,Entire home/apt,395,4,9,7/3/17,1.45,2,6,3,91
16229346,58131300,Bernie,Pittwater,-33.70500692,151.2868679,Entire home/apt,200,3,1,13/1/17,0.37,1,35,3,100
9298744,34710388,Linda,Pittwater,-33.6832381,151.3005665,Entire home/apt,99,2,26,10/3/17,1.59,1,332,1,93
9079745,47349237,Ray,Pittwater,-33.67825982,151.2771482,Entire home/apt,950,2,17,18/2/17,1.1,1,292,10,98
4608308,10626491,Anna,Pittwater,-33.67848177,151.3122697,Entire home/apt,166,3,6,28/5/16,0.22,1,0,1,93
16221455,54807629,Jeanette,Pittwater,-33.68209152,151.3018502,Entire home/apt,100,2,5,28/2/17,1.67,1,290,1,92
9959193,51175994,Jaycie,Pittwater,-33.69965489,151.3070218,Entire home/apt,100,2,25,16/2/17,1.65,2,361,1,97
4584595,23764716,Natalie,Pittwater,-33.69851769,151.3085721,Entire home/apt,399,5,1,2/1/16,0.07,1,0,4,100
13629460,45886303,Rupa,Pittwater,-33.69188801,151.2900252,Private room,89,1,0,,,3,119,1,
16770866,41431897,Melanie,Pittwater,-33.69171765,151.3070493,Entire home/apt,141,2,0,,,1,361,1,
17497905,95238269,John,Pittwater,-33.70001068,151.3026186,Private room,120,1,5,31/3/17,5,1,0,1,100
9243937,46972891,Paul,Pittwater,-33.68480133,151.2964414,Entire home/apt,399,1,1,30/12/15,0.06,1,0,4,100
17847325,122098243,Marion,Pittwater,-33.68833679,151.2918716,Entire home/apt,180,4,0,,,1,41,2,
13520997,16067918,Michelli,Pittwater,-33.70856135,151.2939898,Private room,150,2,0,,,2,365,1,
15329201,65680905,Craig,Pittwater,-33.69610147,151.2775322,Entire home/apt,75,1,10,11/2/17,1.74,1,349,2,96
7873019,41494263,Nathan And Janine,Pittwater,-33.68945282,151.2956857,Entire home/apt,100,1,10,1/4/17,0.55,1,37,2,96
11064388,21267200,Kirsty,Pittwater,-33.68613654,151.3043243,Entire home/apt,1401,7,0,,,1,364,8,
9960465,51183502,Mat,Pittwater,-33.70813292,151.2919644,Entire home/apt,200,7,0,,,1,0,4,
16182270,53364641,Michelle,Pittwater,-33.70059103,151.2906365,Entire home/apt,208,7,0,,,2,87,5,
301574,21741,Lea,Pittwater,-33.70091667,151.2806593,Entire home/apt,208,14,0,,,3,0,3,
16054572,104546122,Marie,Pittwater,-33.6385696,151.3237506,Entire home/apt,189,1,8,11/3/17,2.96,1,93,2,100
17496695,118566494,John,Pittwater,-33.60423321,151.2985499,Entire home/apt,150,2,0,,,1,59,3,
15261711,8978412,Susan,Pittwater,-33.62882824,151.2865535,Entire home/apt,175,2,45,1/4/17,7.3,1,184,1,99
6546396,34243107,Fran,Pittwater,-33.67011528,151.2978986,Entire home/apt,120,4,6,7/3/17,0.37,1,88,2,97
3669962,6515353,Robert,Pittwater,-33.65045617,151.3117183,Private room,95,1,41,7/1/17,1.47,1,357,2,95
8691754,35275531,Louise,Pittwater,-33.64328005,151.3197346,Private room,169,2,20,11/4/16,1.18,1,2,1,99
17998724,123696047,Jill,Pittwater,-33.65959259,151.3187846,Entire home/apt,250,2,0,,,1,86,3,
17097317,114737643,Stacey,Pittwater,-33.66075269,151.3152217,Entire home/apt,300,7,0,,,1,19,2,
14455472,89046263,Valerie,Pittwater,-33.617925,151.3183619,Private room,250,2,0,,,1,362,1,
13361911,51458370,Tonia,Pittwater,-33.65068646,151.3206895,Entire home/apt,451,7,1,11/1/17,0.36,1,0,3,100
6092940,31620383,Peter & Gitti,Pittwater,-33.62317922,151.3354544,Entire home/apt,100,2,34,26/12/16,1.65,1,313,1,96
9829360,50624565,Michelle,Pittwater,-33.67278085,151.3103324,Entire home/apt,210,14,0,,,1,0,4,
4345073,9238070,Nancy,Pittwater,-33.66276627,151.3215912,Entire home/apt,175,1,105,1/4/17,3.71,1,87,1,95
16246993,106224027,Scott,Pittwater,-33.66016942,151.3180204,Entire home/apt,451,7,0,,,1,47,3,
16740367,83648083,Andy,Pittwater,-33.63964489,151.326278,Private room,148,1,8,26/3/17,3.53,1,172,1,100
5673520,17747199,Kat,Pittwater,-33.6462834,151.3070587,Private room,66,3,0,,,1,0,1,
10417407,25871999,Lesley,Pittwater,-33.63602567,151.3079946,Entire home/apt,120,2,61,25/3/17,4.49,1,152,1,98
9012648,47060767,Ian,Pittwater,-33.60189513,151.3206846,Private room,275,1,5,19/11/16,0.3,1,349,1,100
16245554,34737794,Chris,Pittwater,-33.65720196,151.3113081,Entire home/apt,99,1,4,11/1/17,1.1,1,34,1,85
16314852,53495843,Margy,Pittwater,-33.60474612,151.3280918,Private room,197,1,7,1/4/17,2.14,1,73,1,100
1240947,6764931,Rudi & Avalon,Pittwater,-33.60002352,151.3213939,Private room,200,2,30,4/3/17,1,4,319,1,97
13098938,48611301,Rosemary,Pittwater,-33.63773632,151.2934817,Private room,210,1,0,,,2,365,1,
16900534,44104604,Sophie,Pittwater,-33.63050455,151.3367048,Private room,71,1,6,25/3/17,3,2,81,2,93
3321966,16772315,Karen,Pittwater,-33.62347062,151.3340512,Entire home/apt,100,2,45,2/3/17,1.4,1,234,1,95
4387830,21550722,Liz,Pittwater,-33.6425904,151.3226482,Entire home/apt,399,7,2,2/1/17,0.07,1,0,6,100
8906623,46586106,Robert,Pittwater,-33.6245473,151.3217364,Entire home/apt,200,3,11,15/10/16,0.67,1,77,2,100
12840533,27864651,Taran,Pittwater,-33.64745766,151.3215065,Entire home/apt,250,2,16,25/3/17,1.48,1,360,3,83
1700345,8978612,Jo,Pittwater,-33.62309908,151.3342547,Entire home/apt,110,2,21,24/3/17,0.68,1,343,1,100
